article_id,category,title,date,content,summary,source_url,source_name,company_tag,keywords,collected_at,has_null,is_duplicate_seed,data_origin
FB-0001,policy,부산 중소기업 디지털 전환 지원사업,2025-12-27,"부산 중소기업 디지털 전환 지원사업. 이 문서는 실시간 웹 수집 실패 시 사용하는 교육용 합성 데이터입니다. 주요 키워드는 제조 AX, 데이터이며, 시장 변화·기업 대응·지원정책·기술 적용 가능성을 검토할 수 있도록 구성했습니다. 분류는 policy이고 지역 범위는 부산입니다.","제조 AX, 데이터 관련 동향을 다루는 수업용 fallback 기사 요약입니다.",https://example.com/fallback/0001,Fallback Policy Brief,,제조 AX|데이터,2026-09-18T09:00:00+09:00,false,false,synthetic_fallback
FB-0002,policy,부산 제조 AX 지원정책 발표,2025-07-14,"부산 제조 AX 지원정책 발표. 이 문서는 실시간 웹 수집 실패 시 사용하는 교육용 합성 데이터입니다. 주요 키워드는 클라우드, 생성형 AI, 디지털 전환, 보안이며, 시장 변화·기업 대응·지원정책·기술 적용 가능성을 검토할 수 있도록 구성했습니다. 분류는 policy이고 지역 범위는 부산입니다.","클라우드, 생성형 AI, 디지털 전환, 보안 관련 동향을 다루는 수업용 fallback 기사 요약입니다.",https://example.com/fallback/0002,Fallback Policy Brief,,클라우드|생성형 AI|디지털 전환|보안,2026-09-18T09:00:00+09:00,false,false,synthetic_fallback
FB-0003,technology,서울 Edge AI 추론 최적화,2026-07-14,"서울 Edge AI 추론 최적화. 이 문서는 실시간 웹 수집 실패 시 사용하는 교육용 합성 데이터입니다. 주요 키워드는 보안, 자동화, 품질검사, 클라우드이며, 시장 변화·기업 대응·지원정책·기술 적용 가능성을 검토할 수 있도록 구성했습니다. 분류는 technology이고 지역 범위는 서울입니다.","보안, 자동화, 품질검사, 클라우드 관련 동향을 다루는 수업용 fallback 기사 요약입니다.",https://example.com/fallback/0003,Fallback Policy Brief,,보안|자동화|품질검사|클라우드,2026-09-18T09:00:00+09:00,false,false,synthetic_fallback
FB-0004,competitor,InspectAI 서울 경쟁사 제조 AI 파트너십 체결,2026-03-05,"InspectAI 서울 경쟁사 제조 AI 파트너십 체결. 이 문서는 실시간 웹 수집 실패 시 사용하는 교육용 합성 데이터입니다. 주요 키워드는 데이터, 자동화이며, 시장 변화·기업 대응·지원정책·기술 적용 가능성을 검토할 수 있도록 구성했습니다. 분류는 competitor이고 지역 범위는 서울입니다.","데이터, 자동화 관련 동향을 다루는 수업용 fallback 기사 요약입니다.",https://example.com/fallback/0004,Fallback Policy Brief,InspectAI,데이터|자동화,2026-09-18T09:00:00+09:00,false,false,synthetic_fallback
FB-0005,competitor,InspectAI 국내 경쟁사 해외시장 진출,2025-01-29,"InspectAI 국내 경쟁사 해외시장 진출. 이 문서는 실시간 웹 수집 실패 시 사용하는 교육용 합성 데이터입니다. 주요 키워드는 스마트팩토리, AI이며, 시장 변화·기업 대응·지원정책·기술 적용 가능성을 검토할 수 있도록 구성했습니다. 분류는 competitor이고 지역 범위는 국내입니다.","스마트팩토리, AI 관련 동향을 다루는 수업용 fallback 기사 요약입니다.",https://example.com/fallback/0005,Fallback Market Digest,InspectAI,스마트팩토리|AI,2026-09-18T09:00:00+09:00,false,false,synthetic_fallback
FB-0006,market,국내 중소 제조기업 AI 전환 수요 증가,2025-05-03,"국내 중소 제조기업 AI 전환 수요 증가. 이 문서는 실시간 웹 수집 실패 시 사용하는 교육용 합성 데이터입니다. 주요 키워드는 클라우드, 자동화, 보안, 생성형 AI이며, 시장 변화·기업 대응·지원정책·기술 적용 가능성을 검토할 수 있도록 구성했습니다. 분류는 market이고 지역 범위는 국내입니다.","클라우드, 자동화, 보안, 생성형 AI 관련 동향을 다루는 수업용 fallback 기사 요약입니다.",https://example.com/fallback/0006,Fallback Tech Review,,클라우드|자동화|보안|생성형 AI,2026-09-18T09:00:00+09:00,false,false,synthetic_fallback
FB-0007,market,충청 스마트팩토리 투자 증가,2026-01-08,"충청 스마트팩토리 투자 증가. 이 문서는 실시간 웹 수집 실패 시 사용하는 교육용 합성 데이터입니다. 주요 키워드는 데이터, AI, 품질검사이며, 시장 변화·기업 대응·지원정책·기술 적용 가능성을 검토할 수 있도록 구성했습니다. 분류는 market이고 지역 범위는 충청입니다.",,https://example.com/fallback/0007,Fallback Startup News,,데이터|AI|품질검사,2026-09-18T09:00:00+09:00,true,false,synthetic_fallback
FB-0008,policy,부산 AI 바우처 사업 개편,2025-01-09,"부산 AI 바우처 사업 개편. 이 문서는 실시간 웹 수집 실패 시 사용하는 교육용 합성 데이터입니다. 주요 키워드는 제조 AX, 보안, 생성형 AI, AI이며, 시장 변화·기업 대응·지원정책·기술 적용 가능성을 검토할 수 있도록 구성했습니다. 분류는 policy이고 지역 범위는 부산입니다.","제조 AX, 보안, 생성형 AI, AI 관련 동향을 다루는 수업용 fallback 기사 요약입니다.",https://example.com/fallback/0008,Fallback Startup News,,제조 AX|보안|생성형 AI|AI,2026-09-18T09:00:00+09:00,false,false,synthetic_fallback
FB-0009,competitor,InspectAI 충청 경쟁사 품질검사 솔루션 업데이트,2026-08-18,"InspectAI 충청 경쟁사 품질검사 솔루션 업데이트. 이 문서는 실시간 웹 수집 실패 시 사용하는 교육용 합성 데이터입니다. 주요 키워드는 제조 AX, 품질검사, 자동화이며, 시장 변화·기업 대응·지원정책·기술 적용 가능성을 검토할 수 있도록 구성했습니다. 분류는 competitor이고 지역 범위는 충청입니다.","제조 AX, 품질검사, 자동화 관련 동향을 다루는 수업용 fallback 기사 요약입니다.",https://example.com/fallback/0009,Fallback Tech Review,InspectAI,제조 AX|품질검사|자동화,2026-09-18T09:00:00+09:00,false,false,synthetic_fallback
FB-0010,policy,대구 산업 데이터 활용 가이드라인 발표,2026-01-10,"대구 산업 데이터 활용 가이드라인 발표. 이 문서는 실시간 웹 수집 실패 시 사용하는 교육용 합성 데이터입니다. 주요 키워드는 스마트팩토리, 클라우드, 디지털 전환, 제조 AX이며, 시장 변화·기업 대응·지원정책·기술 적용 가능성을 검토할 수 있도록 구성했습니다. 분류는 policy이고 지역 범위는 대구입니다.","스마트팩토리, 클라우드, 디지털 전환, 제조 AX 관련 동향을 다루는 수업용 fallback 기사 요약입니다.",https://example.com/fallback/0010,Fallback Tech Review,,스마트팩토리|클라우드|디지털 전환|제조 AX,2026-09-18T09:00:00+09:00,false,false,synthetic_fallback
