rank,article_id,category,title,date,source_name,source_url,company_tag,keywords,final_score,rule_score,llm_score,keyword_score,company_score,competitor_score,funding_score,recency_score,llm_relevance,llm_importance,llm_urgency,reason,reason_source,summary,data_origin
1,LV-0912,funding,"공정 자동화 넘어 '제조AI'로… 부산, 스마트공장 2.0 대전환 속도",2026-09-18,폴리뉴스 Polinews,https://news.google.com/rss/articles/CBMickFVX3lxTE9oNWIzNERLa0JJRUVDUV94alhDQ0lfNkl4dnlJR0NPaHl3MzVEckFjWlZZYkNJdVR1UHQxc3AtQlRtRGZMWm9YamtoVXFlNHVzTGRDZktNRm84Tm5uMGppMkVXbXZNOUpESTFVeGRnMC1LZ9IBckFVX3lxTE9oNWIzNERLa0JJRUVDUV94alhDQ0lfNkl4dnlJR0NPaHl3MzVEckFjWlZZYkNJdVR1UHQxc3AtQlRtRGZMWm9YamtoVXFlNHVzTGRDZktNRm84Tm5uMGppMkVXbXZNOUpESTFVeGRnMC1LZw?oc=5,,AI|자동화|스마트공장,76.5,67.5,90.0,20.0,22.5,0,15.0,10.0,4,5,5,부산 지역 스마트공장 지원사업 정보를 확인하고 지역 중소 제조기업 대상 비전 검사 구축 영업을 추진해야 합니다.,llm,"공정 자동화 넘어 '제조AI'로… 부산, 스마트공장 2.0 대전환 속도 (검색어: 스마트공장 지원)",live
2,LV-0914,funding,"부산 제조업, 데이터와 AI로 새 길을 연다",2026-09-17,데일리한국,https://news.google.com/rss/articles/CBMib0FVX3lxTE1qN29LQXk0OFR4dVU1WmZwUUpmT2lETEEySnpObWUyWGtqR1cyclhLcmlDMjIzLUZuOFpBaHM2VWZKR1J5cUVIdHlNVENreGNqVWZjY0V0YzZKZWEyVUxEbVRUN3dkTEwyYUZvWUpBSQ?oc=5,,AI|데이터|스마트공장,76.5,67.5,90.0,20.0,22.5,0,15.0,10.0,4,5,5,부산시의 제조 AI 지원 정책을 활용해 현지 중소·중견 기업 대상 스마트팩토리 사업 제안을 서둘러야 합니다.,llm,"부산 제조업, 데이터와 AI로 새 길을 연다 (검색어: 스마트공장 지원)",live
3,LV-1180,market,"피지컬 AI·제조 AX의 확산… 세이지, 건설기계 업종 AI 솔루션 실증 사업 착수",2026-07-29,한국데이터경제신문,https://news.google.com/rss/articles/CBMicEFVX3lxTFBDcnB6SEZRcXRSNEI1dFQxdnoyR19FckVqNHpLM2U1aXd2WWVxaDRFWnpWWENaNFR6SzZNcnpQZUxRUUhNLTRmVXREcHZtaGhIRG5YdzFPb2Y0WEFELWJQLThTNHJyQlUxZUljSzlKNW3SAXRBVV95cUxOYVdPVVZ1cEg2eXBNak9pcWZlNDh3Xy1RNTYwcWd6aEd6bnhjSXlBeUlLYmx1dng1QW5ta1NkUjZndjBHbVY0WTNXbmRET19JWEl5NENWdDFCamFWTTZHcUtNYW5hSUpwQUFBamhGaVBqeTlRVQ?oc=5,세이지,AI|품질검사|제조 AX,74.6,78.5,68.8,25.0,30.0,15,0.0,8.5,4,4,3,세이지의 건설기계 AI 실증 사례를 분석하여 특정 제조 업종 맞춤형 비전 검사 솔루션 영업을 강화해야 합니다.,llm,"피지컬 AI·제조 AX의 확산… 세이지, 건설기계 업종 AI 솔루션 실증 사업 착수 (검색어: 제조업 AI 비전 품질검사)",live
4,LV-0242,market,"마키나락스, 산업 AI 파트너십 본격화…다겸과 AI 품질검사·예지보전 솔루션 공동 개발",2026-07-01,paxetv.com,https://news.google.com/rss/articles/CBMiaEFVX3lxTE9aMEtKc05SR2dlNldLa1NGTU14WVBEX1E3blVNOFZja2JwNVIwU1pSYWJHRmF0WjNhNHBJTTRnc0VvRGNzNXh0TWM5WE01cU5nQ2MzWXd0Y0EyT1JFUmQ5VUJPaHBqWFI5?oc=5,마키나락스,AI|품질검사,72.2,67.9,78.8,20.0,26.2,15,0.0,6.7,5,4,3,경쟁 솔루션 개발 동향을 모니터링하고 차별화된 비전 기반 불량 탐지 SaaS 기능 개발을 추진해야 합니다.,llm,"마키나락스, 산업 AI 파트너십 본격화…다겸과 AI 품질검사·예지보전 솔루션 공동 개발 (검색어: 품질검사)",live
5,LV-0675,technology,"AI가 불량 잡고 보고서까지 쓴다…지미션, 제조 AX 플랫폼 개발:동아경제신문 & daenews.co.kr",2026-07-27,daenews.co.kr,https://news.google.com/rss/articles/CBMiRkFVX3lxTE9mNW1TdVRlWU1tQ3RGQ0FSYmJTTEMtT0l1cUE4SUtLTnc3akRYWDFJeHNZWG1MbGtHTTNWQ2tjSkFfVnk1SXfSAWJBVV95cUxNZEoxUnNxWkk0dzFHN3ZWa3RHUUlmeGQ3Q3RHZzZQY3Jycll0b3FWN1Qwc3h5c3JYWWp4QldmaDZ6ZVNVcnVjVDNkRktJVHJzbktmcUgtbHgxV2ZaLTZEejJJZw?oc=5,,AI|제조 AX|생성형 AI,71.3,52.1,100.0,25.0,18.8,0,0.0,8.4,5,5,5,당사 핵심 기능인 불량 탐지와 보고서 자동화와 동일한 경쟁 제품이 출시되어 차별화 전략을 즉시 점검해야 합니다.,llm,"AI가 불량 잡고 보고서까지 쓴다…지미션, 제조 AX 플랫폼 개발:동아경제신문 & daenews.co.kr (검색어: 제조 생성형 AI)",live
6,LV-0878,funding,"부산테크노파크, 스마트공장 넘어 ‘제조AI·자율형공장’ 전환 지원 강화",2026-09-18,이뉴스투데이,https://news.google.com/rss/articles/CBMidEFVX3lxTE5fMG9GaDZRREZ3RmFXZGUtT1IxVzRhQjBWQVgtQmxWVEVmWG93Unp5UGU3NmFKUEFibm1iV09yNUVnZ2JjVVFSZFZGRm8xVy1sWmZTckUtQkJuS19uNVdPeWViNkZ2RVo1S3pYRXd5bUZHRzNr0gF0QVVfeXFMTl8wb0ZoNlFERndGYVdkZS1PUjFXNGFCMFZBWC1CbFZURWZYb3dSenlQZTc2YUpQQWJubWJXT3I1RWdnYmNVUVJkVkZGbzFXLWxaZlNyRS1CQm5LX241V095ZWI2RnZFWjVLelhFd3ltRkdHM2s?oc=5,,AI|스마트공장,70.5,57.5,90.0,10.0,22.5,0,15.0,10.0,4,5,5,부산테크노파크의 지원사업 대상 기업들을 파악하고 스마트공장 구축 연계 제휴 및 영업을 신속히 추진해야 합니다.,llm,"부산테크노파크, 스마트공장 넘어 ‘제조AI·자율형공장’ 전환 지원 강화 (검색어: 스마트공장 지원)",live
7,LV-1193,market,"버넥트, VLM 기반 ‘Inspect Assembly’로 제조 조립검사 AI 전환 가속화",2026-09-17,테크데일리,https://news.google.com/rss/articles/CBMibkFVX3lxTE0zNkNjNDB2WXU2RVlIMEtlNURvLUEzVTdJb2F6WFZLakVZb0trU2k0bUFpVGU2REpIc3FLQXpSRlhEWVdGZWhwTTNQTkljQ0tRM3Q3QjNna0xBcG8wVENJanBxSEY5TFZYOWYtaVBn0gFyQVVfeXFMTS0xMkdzTzRrZnBhS1BSbFVpZWl0Y28tUlRWSHR2YW9IRDhEMHVXbUZmOWd4clR0dWx0dG5aMHc0ckRnT2pSYzVBVkd3VGpoel9zODNkX0RZQkNBRE5hLWVZQkRabUQ2RlpwOVhaSExmTUZB?oc=5,,AI|품질검사,70.5,55.0,93.8,15.0,30.0,0,0.0,10.0,5,5,4,버넥트의 VLM 기반 조립검사 솔루션을 모니터링하고 자사 비전 검사 경쟁력을 점검해야 합니다.,llm,"버넥트, VLM 기반 ‘Inspect Assembly’로 제조 조립검사 AI 전환 가속화 (검색어: 제조업 AI 비전 품질검사)",live
8,LV-1196,market,"눈으로 보고 스스로 판단하는 AI…피아이이, 제조 지능화 시장 공략",2026-09-05,pinpointnews.co.kr,https://news.google.com/rss/articles/CBMic0FVX3lxTE84MG10VjlxR2JJTUc4Q0NPNmtReHBXdmYtUm10NFliQWZUUWtRSkFWVFVvS1Z0dmFjUnVIc213MVZzMnNVOXp0RTB2OEJWVzVNQmhMeVdJTUNQVmdCbk4wVHFmdDNQMzBBcFlqTHFER2paV1XSAXdBVV95cUxQLXd4cUdpYWMtckVvaExzaVJFR196eEVWZVB1eDZWa19IZWt0WVZpcllrQzJNdU92RkhFQlNpaW9taHhsazJkaEhDR0l3UUpCeEJTdWd2VktWUTFmdlpkRXJHdGlqNVNwVHdDNEhPblVIdHQ0dWpUTQ?oc=5,,AI|품질검사,70.5,55.0,93.8,15.0,30.0,0,0.0,10.0,5,5,4,피아이이의 제조 지능화 공략 전략을 분석하여 중소·중견기업 타깃 마케팅을 강화해야 합니다.,llm,"눈으로 보고 스스로 판단하는 AI…피아이이, 제조 지능화 시장 공략 (검색어: 제조업 AI 비전 품질검사)",live
9,LV-1378,competitor,"[AISE 2026]“인건비 부담·품질 편차 한 번에 잡는다”...에이아이매틱스, 소량 데이터 기반 비전 AI ‘AIM-T1’ 제시",2026-08-24,디지틀조선일보,https://news.google.com/rss/articles/CBMihwFBVV95cUxPRkRsd2JRb1ZqUzNxY3BSMGtIV28xNUtRWGtWZW1pWjFRaGxaMzBxOVZRWlgybERSTzFMZFFxbXFtdjFTVkJzMlpKTFdtTTJtUVAtNW1yZEQ1OG9tS0xLdXFZbzJmLXpGaEEzdFh6UXpKVjZ4WXRBeW9yVDFaLU1nX0ZfVHZkZFHSAXtBVV95cUxObDdpcFlTTFFVbXMxV01xbzFHRkd2RWwtV2wzM0dQaDBBSzduSkVGbWZ3UnV3b0c4dlFFSjNQRjZtUng5c1dmZXpKcGxwcFlfNjRxM3ZVSmdsb1RPU2ZQRUVXRWZJX05lZWFHYWtkM1d0OWJ0WXp0czJsVDg?oc=5,,AI|데이터,70.0,60.0,85.0,20.0,30.0,0,0.0,10.0,5,4,4,소량 데이터 기반 비전 AI 기술 출시 동향을 파악하고 자사 불량 탐지 SaaS의 소량 데이터 학습 성능을 고도화해야 합니다.,llm,"[AISE 2026]“인건비 부담·품질 편차 한 번에 잡는다”...에이아이매틱스, 소량 데이터 기반 비전 AI ‘AIM-T1’ 제시 (검색어: 머신비전 AI 검사)",live
10,LV-1078,policy,"AI가 이끄는 제조업의 대전환, 청사진 나왔다....정부, 2030년까지 민·관 합동 20조원 투자",2026-06-29,인공지능신문,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE1TY0NVei1KcmtKNXdZaVdYeF9BNzlUQi1mRElSNk1rNVFfa3ctUG9nMVNzSnpYWEtVcTh1SnpJSEUyVkl2bWNFT1hiNGZ3b3FVVWdnbUNqclhKVG9OMnhzdHNBNmNiUG8?oc=5,,AI|스마트공장,67.9,46.5,100.0,10.0,22.5,0,7.5,6.5,5,5,5,"정부의 대규모 제조 AI 투자 계획에 발맞춰, 중소기업 대상 스마트공장 구축 지원 사업 연계 영업을 강화해야 합니다.",llm,"AI가 이끄는 제조업의 대전환, 청사진 나왔다....정부, 2030년까지 민·관 합동 20조원 투자 (검색어: 스마트공장 정책)",live
