article_id,category,title,date,content,summary,source_url,source_name,company_tag,keywords,collected_at,has_null,is_duplicate_seed,data_origin,collect_method,date_valid
LV-0001,market,"네이버클라우드-미스트랄AI, 제조 AI 혁신 위한 전방위 파트너십 체결",2026-07-08,"네이버클라우드-미스트랄AI, 제조 AI 혁신 위한 전방위 파트너십 체결 (검색어: 제조 AI)","네이버클라우드-미스트랄AI, 제조 AI 혁신 위한 전방위 파트너십 체결 (검색어: 제조 AI)",https://news.google.com/rss/articles/CBMickFVX3lxTE5aMkF4YURDVHhNQkY2S0ZxblFwWXF4UEY4MVVqRVZGSWFQdm1UWlJjRXFHel9KRlhaWHRnZzJrQzA0VUdNaGg5M2E2QjZFclpUNmVjUHM1SlhSaHlOdS1FQTJZeHdBTVJJaGN5bDlzQUYxUQ?oc=5,NAVERCorp.,,AI|클라우드,2026-09-19T15:44:28+09:00,false,false,live,rss,true
LV-0002,market,제조 AI전환·메가프로젝트 총력 지원…예산 두 배 이상 ↑,2026-09-01,제조 AI전환·메가프로젝트 총력 지원…예산 두 배 이상 ↑ (검색어: 제조 AI),제조 AI전환·메가프로젝트 총력 지원…예산 두 배 이상 ↑ (검색어: 제조 AI),https://news.google.com/rss/articles/CBMibEFVX3lxTE5UMkViYVlLU3JfUkVuN0M1Yy0wX3RXd3Rha1dOYzAzR3NLZzZlZGlQX3JZTmtnbktaSjM1YU9zUTJEd1M4Vm5LUHBwT1JTNlJIcWltZUR5alJXOG9mUU1hRHVRLWR5NGU0ci16Rg?oc=5,대한민국 정책브리핑,,AI,2026-09-19T15:44:28+09:00,false,false,live,rss,true
LV-0003,market,"산업부, 메가프로젝트·제조 AI 전환 속도전",2026-08-05,"산업부, 메가프로젝트·제조 AI 전환 속도전 (검색어: 제조 AI)","산업부, 메가프로젝트·제조 AI 전환 속도전 (검색어: 제조 AI)",https://news.google.com/rss/articles/CBMicEFVX3lxTE9rd2JKYl9TRElfc004NjBjXzBYdWxvYklzUDFmcnpGOXhWbzh5UEJKdHJId0ZoWWpRanlOTG96TS1sOVZlWFVmdXZtcFVNRTVfN1lJdTVpQmJNSHBhUkJhUnMwZlRxOUFzYkQwR1RmNGg?oc=5,매일노동뉴스,,AI,2026-09-19T15:44:28+09:00,false,false,live,rss,true
LV-0004,market,"산업부, 간부 대상 AX 교육…제조 AI 전환 추진력 더한다",2026-08-14,"산업부, 간부 대상 AX 교육…제조 AI 전환 추진력 더한다 (검색어: 제조 AI)","산업부, 간부 대상 AX 교육…제조 AI 전환 추진력 더한다 (검색어: 제조 AI)",https://news.google.com/rss/articles/CBMiW0FVX3lxTE94alQ2clJIVnNaZVpxX19FUDRDNEowN2RxZTAwNGhxbmhDc042UWZleFNOZTRWWVF1eHRQN0c4dHY0MGk3MzhxMVpaa25NcHRlOHY1RFJLMEFXcWvSAWBBVV95cUxOV3VwdnQwREhTRWUweVYyVnZocW9kWThLa2kxTzZpLVctd2ZEMHhrRWdvUTdxcWNPN01zUnZsZjJsdDJ1NUE1M1dpZEpPbW90QjhidEducDdUS2tzbHJ1b1I?oc=5,연합뉴스,,AI,2026-09-19T15:44:28+09:00,false,false,live,rss,true
LV-0005,market,"경남 제조 AI 센터 개소, 지역 제조기업의 AI 전환 본격화...올해까지 도내 기업에 인프라 전면 무료 개방",2026-09-17,"경남 제조 AI 센터 개소, 지역 제조기업의 AI 전환 본격화...올해까지 도내 기업에 인프라 전면 무료 개방 (검색어: 제조 AI)","경남 제조 AI 센터 개소, 지역 제조기업의 AI 전환 본격화...올해까지 도내 기업에 인프라 전면 무료 개방 (검색어: 제조 AI)",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5tVkRDSEtxNlBBWmR4NmpqVVplMTl4aFZCR0RzSGxVRjZaSnp4VHAzY05Vckt4ODBvcjFUaXJPa2xoRzZzbzVKa29seHJ1dUpIczdmZXc1dkVycVlPYjJLRVYtNHVsNms?oc=5,인공지능신문,,AI,2026-09-19T15:44:28+09:00,false,false,live,rss,true
LV-0006,market,"""제조 AI 선점하기 위해서 데이터 모아 스케일 키워야""",2026-09-13,"""제조 AI 선점하기 위해서 데이터 모아 스케일 키워야"" (검색어: 제조 AI)","""제조 AI 선점하기 위해서 데이터 모아 스케일 키워야"" (검색어: 제조 AI)",https://news.google.com/rss/articles/CBMijwFBVV95cUxNeXhrVVJjb3JpcnUwbHB2TmVsUUR3U2lVOThZX05yRVpvN044RTVOTjlHQlZEX0hEM3JrYUVFZlpKSm1CMzZjSmRBdE5XSDA2anlkdzZsWVJ3V1ZpeFF1SWVwYnpBaDJiUmd6d1VfbzliTWVCbklTbXJRdGl3MUdXZ25YY3JMbUZoWHBBTXBLQQ?oc=5,조선일보,,AI|데이터,2026-09-19T15:44:28+09:00,false,false,live,rss,true
LV-0007,market,"경북도, 자동차 부품 제조 AI 로봇 확산 거점 구축",2026-08-03,"경북도, 자동차 부품 제조 AI 로봇 확산 거점 구축 (검색어: 제조 AI)","경북도, 자동차 부품 제조 AI 로봇 확산 거점 구축 (검색어: 제조 AI)",https://news.google.com/rss/articles/CBMibEFVX3lxTFB0eU82WC1zMUFWY2FfaVdvMHgwWDNxcEZIN3lZVkJrb2hJWkhSN0w2NmcyOVhOR1ptN2k4RGc4NWZSTV9BZWZvZGh0VEtUaFkteVNDX3RYWHdWVXd1Q3EtRkp4QkgyM0M3bk15ZQ?oc=5,로봇신문,,AI,2026-09-19T15:44:28+09:00,false,false,live,rss,true
LV-0008,market,데이터 쫓아 지방 간다…제조 AI 거점 확산,2026-09-12,데이터 쫓아 지방 간다…제조 AI 거점 확산 (검색어: 제조 AI),데이터 쫓아 지방 간다…제조 AI 거점 확산 (검색어: 제조 AI),https://news.google.com/rss/articles/CBMiVkFVX3lxTE15NDUzdDRLMWczYzF6MkxURFhDRWlvR3NlWmY0bnBLRDV2S2JXS0xaMS1ERlY4eVhLMmpOcnJVcWE1M1hJZ2p4R1BnYUdSX24yT0MtbExn?oc=5,지디넷코리아,,AI|데이터,2026-09-19T15:44:28+09:00,false,false,live,rss,true
LV-0009,market,"알티엠, ‘제조 AI 도입점검 프로그램’ 출시…적은 데이터로 AI 적용 여부 먼저 확인",2026-09-15,"알티엠, ‘제조 AI 도입점검 프로그램’ 출시…적은 데이터로 AI 적용 여부 먼저 확인 (검색어: 제조 AI)","알티엠, ‘제조 AI 도입점검 프로그램’ 출시…적은 데이터로 AI 적용 여부 먼저 확인 (검색어: 제조 AI)",https://news.google.com/rss/articles/CBMiakFVX3lxTE5tYkotZWpRWG1FclJ6SXNUcW5OWW5jaHlCVkt1R1FJWUtwM3prNERBZTJGZWhkbmxycFFkakRVTGtuZi16ZFdUaXdfVmE4a0hlN0tPemJBUEllZm11TWRoTkpsblZGR1FmMnc?oc=5,AI타임스,,AI|데이터,2026-09-19T15:44:28+09:00,false,false,live,rss,true
LV-0010,market,"[경남, 대한민국 제조 AI 중심으로!] (20·끝) 경남 제조AI 전망과 과제",2026-08-27,"[경남, 대한민국 제조 AI 중심으로!] (20·끝) 경남 제조AI 전망과 과제 (검색어: 제조 AI)","[경남, 대한민국 제조 AI 중심으로!] (20·끝) 경남 제조AI 전망과 과제 (검색어: 제조 AI)",https://news.google.com/rss/articles/CBMiS0FVX3lxTFBLeHBOVXJDVll0c3ZqLWpQNmpzdzdtVUxjdUtnT3JxbnFZRDJabnRDc05raG9INXpIRm4zaUhJWWU3cWxyTXhxZmFhcw?oc=5,v.daum.net,,AI,2026-09-19T15:44:28+09:00,false,false,live,rss,true
